	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
SNP625	1	176443827	0.24	0.235294	0.277228	0.343284	0.379242	0.373626	0.375812	0.370326	0.390961	0.40758	0.404112	0.396236	0.404403	0.390287	0.389338
SNP626	1	176763185	0.32	0.372549	0.415842	0.487562	0.42515	0.415584	0.429785	0.414717	0.391461	0.40918	0.398092	0.401056	0.402143	0.404343	0.403177
SNP627	1	176800318	0.64	0.54902	0.485149	0.462687	0.469062	0.472527	0.435282	0.44851	0.422858	0.40698	0.405972	0.413306	0.412013	0.403509	0.4044
SNP628	1	176916939	0.44	0.509804	0.485149	0.452736	0.409182	0.393606	0.391804	0.416517	0.423358	0.422779	0.414352	0.421886	0.424418	0.409193	0.406116
SNP629	1	176990341	0.4	0.45098	0.405941	0.393035	0.423154	0.436563	0.433783	0.436913	0.446755	0.426279	0.419872	0.418936	0.414233	0.413485	0.405692
SNP630	1	177076840	0.44	0.509804	0.524752	0.492537	0.457086	0.423576	0.432784	0.393721	0.407659	0.40223	0.403972	0.400786	0.409808	0.416827	0.403276
SNP631	1	177333635	0.24	0.254902	0.237624	0.243781	0.335329	0.36963	0.366317	0.377524	0.375462	0.39268	0.410792	0.411986	0.410758	0.401551	0.407476
SNP632	1	177586210	0.48	0.372549	0.405941	0.393035	0.369261	0.364635	0.387306	0.379524	0.39976	0.371781	0.385372	0.393636	0.390588	0.399019	0.407407
SNP633	1	177604328	0.36	0.392157	0.415842	0.422886	0.409182	0.421578	0.456772	0.422116	0.40026	0.385731	0.398132	0.394036	0.388908	0.399459	0.406778
SNP634	1	177800449	0.28	0.313725	0.316832	0.38806	0.401198	0.34965	0.375312	0.402719	0.40166	0.427679	0.434331	0.427386	0.419133	0.413187	0.398736
SNP635	1	178297422	0.36	0.254902	0.237624	0.298507	0.303393	0.341658	0.369815	0.365527	0.377062	0.385831	0.377552	0.371446	0.369868	0.391273	0.401525
SNP636	1	178673969	0.32	0.294118	0.326733	0.353234	0.42515	0.422577	0.407296	0.39812	0.380362	0.384081	0.394412	0.395726	0.400118	0.408665	0.405131
SNP637	1	179049179	0.2	0.176471	0.247525	0.358209	0.373253	0.436563	0.452774	0.4983	0.482952	0.483776	0.459911	0.445916	0.435603	0.416823	0.407938
SNP638	1	179381502	0.36	0.352941	0.39604	0.368159	0.369261	0.388611	0.355822	0.345731	0.360364	0.385281	0.386952	0.395836	0.393458	0.399237	0.415965
SNP639	1	179507009	0.36	0.352941	0.39604	0.393035	0.363273	0.368631	0.375812	0.386923	0.385861	0.415629	0.399952	0.402836	0.394583	0.399761	0.407603
SNP640	1	179734123	0.44	0.470588	0.465347	0.41791	0.497006	0.478521	0.470765	0.462308	0.447755	0.463727	0.457871	0.449806	0.432833	0.405463	0.412941
SNP641	1	179834206	0.32	0.313725	0.386139	0.402985	0.419162	0.407592	0.4003	0.418116	0.40396	0.39348	0.391592	0.414896	0.426503	0.396915	0.411535
SNP642	1	179852467	0.6	0.509804	0.49505	0.517413	0.54491	0.546454	0.527236	0.443511	0.40486	0.40223	0.394112	0.393846	0.418203	0.401241	0.410516
SNP643	1	179967210	0.08	0.235294	0.287129	0.273632	0.263473	0.340659	0.36082	0.337333	0.363864	0.361982	0.357173	0.368816	0.371098	0.424337	0.407984
SNP644	1	180023968	0.16	0.215686	0.178218	0.248756	0.317365	0.331668	0.367316	0.355929	0.361964	0.366682	0.357013	0.359696	0.381033	0.425071	0.409583
SNP645	1	180315435	0.16	0.215686	0.287129	0.358209	0.411178	0.392607	0.367316	0.380924	0.356764	0.369282	0.370793	0.370596	0.395958	0.422999	0.399484
SNP646	1	180325367	0.56	0.588235	0.534653	0.547264	0.522954	0.471528	0.409795	0.381924	0.370063	0.370981	0.366453	0.367876	0.387323	0.424043	0.399296
SNP647	1	180672988	0.48	0.431373	0.376238	0.368159	0.337325	0.377622	0.375312	0.356129	0.359564	0.378531	0.373473	0.370696	0.377263	0.403161	0.418398
SNP648	1	180778274	0.32	0.313725	0.277228	0.293532	0.343313	0.318681	0.308346	0.330534	0.341566	0.357882	0.359993	0.361626	0.377028	0.410883	0.413856
SNP649	1	181009400	0.32	0.294118	0.316832	0.308458	0.37525	0.421578	0.432284	0.44911	0.447755	0.467827	0.449991	0.434476	0.460593	0.442075	0.428962
SNP650	1	181350281	0.64	0.54902	0.455446	0.442786	0.441118	0.380619	0.372314	0.387323	0.40146	0.411179	0.431911	0.448026	0.436453	0.440703	0.442969
SNP651	1	181421492	0.56	0.392157	0.376238	0.39801	0.451098	0.45954	0.447776	0.45011	0.447355	0.448528	0.428031	0.443476	0.439883	0.433373	0.435663
SNP652	1	181583059	0.32	0.372549	0.39604	0.39801	0.363273	0.36963	0.346827	0.371726	0.39546	0.417729	0.426951	0.428216	0.423083	0.430733	0.43133
SNP653	1	181761751	0.52	0.529412	0.524752	0.447761	0.469062	0.425574	0.436282	0.457508	0.454455	0.467477	0.441931	0.424116	0.423808	0.417021	0.425545
SNP654	1	181914089	0.36	0.313725	0.316832	0.338308	0.373253	0.370629	0.365317	0.360728	0.364364	0.371231	0.393112	0.400576	0.397758	0.419037	0.424777
SNP655	1	182110864	0.52	0.411765	0.465347	0.502488	0.499002	0.444555	0.47926	0.470506	0.445255	0.432278	0.418132	0.417666	0.425903	0.421979	0.422079
SNP656	1	182693575	0.4	0.411765	0.415842	0.402985	0.381238	0.42957	0.408296	0.430714	0.391361	0.39793	0.420452	0.420836	0.427523	0.413753	0.416349
SNP657	1	182710052	0.28	0.372549	0.435644	0.462687	0.53493	0.556444	0.588706	0.528294	0.458154	0.421429	0.411532	0.415786	0.424833	0.413011	0.41669
SNP658	1	182825782	0.32	0.352941	0.336634	0.328358	0.367265	0.407592	0.394303	0.381324	0.375862	0.368382	0.387232	0.391006	0.397908	0.409469	0.418744
SNP659	1	183058998	0.44	0.509804	0.445545	0.383085	0.357285	0.337662	0.382809	0.387323	0.39666	0.39753	0.402492	0.398706	0.404323	0.412161	0.416335
SNP660	1	183445886	0.12	0.156863	0.277228	0.263682	0.321357	0.362637	0.365817	0.379524	0.421058	0.40408	0.394292	0.386586	0.400048	0.418915	0.41197
SNP661	1	183764314	0.4	0.392157	0.39604	0.447761	0.377246	0.418581	0.38031	0.387323	0.379862	0.39208	0.403812	0.395996	0.401523	0.407737	0.406691
SNP662	1	184548746	0.52	0.588235	0.594059	0.507463	0.449102	0.446553	0.408296	0.396121	0.412659	0.40118	0.405312	0.408196	0.408923	0.399053	0.399738
SNP663	1	185083773	0.52	0.529412	0.465347	0.537313	0.443114	0.431568	0.436282	0.39872	0.389061	0.375581	0.372433	0.379816	0.383973	0.386249	0.389681
SNP664	1	185457126	0.28	0.333333	0.366337	0.39801	0.411178	0.404595	0.435282	0.425315	0.39806	0.39743	0.387392	0.384486	0.389493	0.385621	0.379471
SNP665	1	185924708	0.12	0.27451	0.247525	0.283582	0.333333	0.350649	0.372814	0.393521	0.412559	0.39473	0.369593	0.357856	0.356573	0.361853	0.368646
SNP666	1	186724052	0.52	0.392157	0.415842	0.39801	0.399202	0.391608	0.37981	0.386723	0.375462	0.380231	0.382072	0.369826	0.366403	0.370707	0.364113
SNP667	1	187246054	0.16	0.352941	0.336634	0.348259	0.337325	0.370629	0.35932	0.345731	0.348365	0.347933	0.352993	0.345517	0.349708	0.357307	0.360356
SNP668	1	187681145	0.44	0.45098	0.415842	0.41791	0.39521	0.346653	0.348326	0.363727	0.373263	0.383481	0.365853	0.357046	0.364778	0.360405	0.35467
SNP669	1	188117208	0.48	0.431373	0.386139	0.363184	0.327345	0.308691	0.306847	0.317736	0.316168	0.334233	0.342533	0.346127	0.341683	0.345305	0.345427
SNP670	1	188666567	0.4	0.352941	0.267327	0.278607	0.377246	0.437562	0.38031	0.340732	0.358864	0.360132	0.344113	0.343487	0.348938	0.341045	0.341233
SNP671	1	189100825	0.2	0.333333	0.316832	0.333333	0.319361	0.298701	0.357821	0.364327	0.339566	0.368682	0.340793	0.344117	0.339558	0.338623	0.340902
SNP672	1	189444285	0.36	0.392157	0.445545	0.447761	0.397206	0.426573	0.45927	0.405919	0.383562	0.353382	0.334893	0.336867	0.337073	0.339649	0.339312
SNP673	1	189862782	0.12	0.078431	0.237624	0.298507	0.299401	0.276723	0.322839	0.310138	0.314769	0.315334	0.336833	0.340957	0.340483	0.340273	0.337993
SNP674	1	189925856	0.24	0.333333	0.306931	0.318408	0.301397	0.281718	0.316842	0.29934	0.316068	0.318484	0.334273	0.340607	0.339168	0.340981	0.33662
SNP675	1	190788739	0.28	0.294118	0.287129	0.328358	0.315369	0.306693	0.305347	0.29934	0.312869	0.332883	0.342773	0.347747	0.340883	0.340785	0.33919
SNP676	1	191593271	0.52	0.411765	0.405941	0.38806	0.37525	0.366633	0.363818	0.359128	0.333467	0.345433	0.331493	0.340197	0.346338	0.344805	0.344248
SNP677	1	192167941	0.36	0.313725	0.346535	0.402985	0.331337	0.347652	0.318841	0.337532	0.366763	0.338083	0.335973	0.344387	0.349903	0.343405	0.351757
SNP678	1	192720950	0.48	0.45098	0.475248	0.457711	0.463074	0.524476	0.48026	0.402719	0.382662	0.364332	0.370373	0.368576	0.373233	0.376443	0.366004
SNP679	1	193125199	0.32	0.294118	0.267327	0.303483	0.343313	0.373626	0.37931	0.356329	0.343566	0.346633	0.354633	0.363636	0.365123	0.371859	0.372255
SNP680	1	193429715	0.24	0.294118	0.336634	0.293532	0.349301	0.361638	0.354823	0.354729	0.370063	0.363732	0.377812	0.377456	0.375833	0.368669	0.366537
SNP681	1	193832406	0.24	0.215686	0.316832	0.338308	0.359281	0.342657	0.362319	0.364127	0.352065	0.365432	0.365033	0.356886	0.362583	0.358407	0.358802
SNP682	1	194125820	0.32	0.352941	0.316832	0.363184	0.39521	0.374625	0.375812	0.338732	0.351265	0.338733	0.334553	0.346287	0.348373	0.350835	0.351419
SNP683	1	194259808	0.32	0.313725	0.326733	0.353234	0.345309	0.353646	0.366317	0.329534	0.359064	0.361182	0.347233	0.343457	0.343643	0.348407	0.349121
SNP684	1	194418901	0.36	0.27451	0.237624	0.233831	0.289421	0.324675	0.328836	0.341332	0.359164	0.358382	0.362833	0.356806	0.351338	0.344813	0.345715
SNP685	1	194705582	0.28	0.235294	0.217822	0.283582	0.293413	0.274725	0.308346	0.341932	0.334867	0.331633	0.327513	0.339687	0.337923	0.339957	0.342473
SNP686	1	195050741	0.52	0.509804	0.445545	0.427861	0.399202	0.348651	0.336332	0.335933	0.329267	0.326834	0.348193	0.342537	0.342718	0.339117	0.339015
SNP687	1	195270415	0.2	0.196078	0.188119	0.19403	0.225549	0.254745	0.281359	0.315337	0.327367	0.323484	0.329173	0.329037	0.334603	0.338845	0.340341
SNP688	1	195468947	0.28	0.294118	0.356436	0.343284	0.355289	0.382617	0.334833	0.326535	0.356564	0.346633	0.353053	0.336977	0.339433	0.340731	0.341974
SNP689	1	196510939	0.4	0.392157	0.29703	0.253731	0.261477	0.274725	0.326837	0.312537	0.349665	0.351532	0.342773	0.347367	0.344358	0.342729	0.349271
SNP690	1	196829595	0.32	0.313725	0.29703	0.328358	0.333333	0.308691	0.309345	0.345131	0.360364	0.368282	0.365033	0.356536	0.360643	0.354393	0.351965
SNP691	1	197118855	0.4	0.45098	0.475248	0.432836	0.433134	0.402597	0.409295	0.412318	0.405359	0.363682	0.351013	0.347417	0.355763	0.357745	0.355928
SNP692	1	197319518	0.36	0.392157	0.306931	0.348259	0.38523	0.415584	0.411794	0.382324	0.384962	0.382481	0.375332	0.365686	0.362898	0.357845	0.358447
SNP693	1	197536155	0.24	0.254902	0.277228	0.298507	0.299401	0.301698	0.329335	0.330734	0.342366	0.354982	0.349293	0.339007	0.345143	0.357779	0.364692
SNP694	1	197742190	0.24	0.294118	0.287129	0.318408	0.327345	0.390609	0.368316	0.420716	0.39586	0.375881	0.375152	0.379756	0.370138	0.366825	0.366765
SNP695	1	197851313	0.4	0.470588	0.39604	0.363184	0.377246	0.367632	0.368316	0.410918	0.384462	0.369882	0.373453	0.396746	0.393228	0.374393	0.365607
SNP696	1	197997110	0.24	0.27451	0.257426	0.323383	0.323353	0.326673	0.335832	0.338732	0.361264	0.40073	0.391652	0.381006	0.374918	0.379449	0.365836
SNP697	1	198021533	0.36	0.294118	0.287129	0.268657	0.299401	0.301698	0.331334	0.385123	0.39996	0.373631	0.380932	0.378176	0.375158	0.375953	0.366106
SNP698	1	198103132	0.24	0.313725	0.227723	0.268657	0.345309	0.346653	0.394303	0.410518	0.390861	0.368382	0.381172	0.374026	0.373728	0.372823	0.368201
SNP699	1	198277547	0.32	0.333333	0.39604	0.378109	0.349301	0.346653	0.365817	0.366327	0.356064	0.369332	0.354553	0.351676	0.357538	0.362135	0.366629
SNP700	1	198544145	0.32	0.333333	0.306931	0.318408	0.38523	0.361638	0.356822	0.367327	0.360564	0.380181	0.363473	0.360856	0.359828	0.358109	0.357207
SNP701	1	198695683	0.36	0.45098	0.346535	0.313433	0.347305	0.347652	0.366317	0.362927	0.345465	0.338333	0.341893	0.345487	0.350893	0.355375	0.355838
SNP702	1	198843512	0.28	0.196078	0.207921	0.243781	0.287425	0.326673	0.34083	0.366327	0.353765	0.335833	0.332153	0.352856	0.356243	0.352075	0.356827
SNP703	1	198954550	0.28	0.294118	0.29703	0.268657	0.289421	0.290709	0.291854	0.346131	0.342366	0.344983	0.348353	0.357726	0.345943	0.354385	0.356704
SNP704	1	199036638	0.2	0.235294	0.217822	0.243781	0.289421	0.301698	0.308846	0.312537	0.313969	0.325134	0.342913	0.358136	0.351708	0.355525	0.356306
SNP705	1	199371040	0.28	0.333333	0.29703	0.228856	0.233533	0.294705	0.318341	0.364927	0.365263	0.368632	0.355393	0.358046	0.359358	0.363473	0.363076
SNP706	1	199434826	0.44	0.431373	0.39604	0.39801	0.373253	0.368631	0.35932	0.363127	0.369463	0.361282	0.366933	0.358986	0.358928	0.363245	0.367291
SNP707	1	199532237	0.32	0.333333	0.247525	0.338308	0.41517	0.456543	0.378311	0.355329	0.326067	0.343633	0.363973	0.369516	0.365283	0.363067	0.375391
SNP708	1	199677612	0.36	0.333333	0.39604	0.323383	0.341317	0.374625	0.34083	0.365127	0.365263	0.357932	0.367513	0.365636	0.364763	0.375051	0.382198
SNP709	1	199775793	0.28	0.27451	0.366337	0.368159	0.377246	0.408591	0.398801	0.377724	0.369563	0.366982	0.366473	0.368576	0.381043	0.389941	0.387171
SNP710	1	199968170	0.32	0.470588	0.50495	0.537313	0.518962	0.490509	0.443278	0.442511	0.423258	0.427679	0.425131	0.437306	0.421338	0.403759	0.397044
SNP711	1	199977362	0.44	0.54902	0.564356	0.427861	0.38523	0.368631	0.410295	0.431114	0.436456	0.431778	0.426671	0.436886	0.420253	0.404595	0.397866
SNP712	1	200020992	0.4	0.313725	0.386139	0.39801	0.371257	0.368631	0.369315	0.390922	0.40226	0.40833	0.426931	0.419556	0.418223	0.410693	0.400951
SNP713	1	200469107	0.52	0.490196	0.435644	0.457711	0.463074	0.457542	0.443278	0.424115	0.415558	0.415379	0.430171	0.426146	0.407303	0.410423	0.418414
SNP714	1	200584655	0.16	0.294118	0.336634	0.39801	0.355289	0.344655	0.373813	0.386123	0.392961	0.39703	0.395312	0.395986	0.406898	0.398889	0.430397
SNP715	1	200934368	0.52	0.529412	0.574257	0.552239	0.558882	0.526474	0.512744	0.485303	0.493751	0.523774	0.49881	0.502955	0.508637	0.468431	0.462497
SNP716	1	201177178	0.48	0.54902	0.554455	0.58209	0.59481	0.573427	0.55922	0.543691	0.530047	0.535473	0.51461	0.478875	0.494163	0.509703	0.482602
SNP717	1	201256001	0.44	0.490196	0.455446	0.502488	0.522954	0.527473	0.501249	0.515697	0.527547	0.508775	0.50395	0.498045	0.506292	0.502869	0.487321
SNP718	1	201304330	0.24	0.372549	0.415842	0.442786	0.449102	0.48951	0.461269	0.487502	0.491051	0.479926	0.50895	0.517925	0.509012	0.499163	0.491257
SNP719	1	201711462	0.44	0.45098	0.49505	0.477612	0.47505	0.505495	0.482259	0.503699	0.494451	0.475626	0.455411	0.465485	0.468653	0.470583	0.491177
SNP720	1	201843918	0.44	0.45098	0.465347	0.492537	0.479042	0.485514	0.472264	0.468106	0.456254	0.441178	0.461371	0.459365	0.455678	0.474423	0.48482
SNP721	1	202094909	0.52	0.529412	0.49505	0.522388	0.53493	0.494505	0.52074	0.531694	0.549045	0.539723	0.528849	0.522565	0.516412	0.489981	0.462482
SNP722	1	202224235	0.44	0.509804	0.50495	0.522388	0.516966	0.509491	0.465267	0.445511	0.429357	0.452927	0.48293	0.489665	0.496318	0.467301	0.460312
SNP723	1	202359635	0.16	0.235294	0.306931	0.38806	0.38523	0.412587	0.426287	0.387522	0.393361	0.386431	0.390972	0.401376	0.414078	0.449699	0.4625
SNP724	1	202520822	0.56	0.529412	0.50495	0.472637	0.453094	0.394605	0.373313	0.391922	0.384062	0.381281	0.392452	0.410216	0.429068	0.430213	0.456561
SNP725	1	202556932	0.48	0.529412	0.485149	0.507463	0.506986	0.488511	0.450275	0.459908	0.480252	0.469277	0.456391	0.454775	0.446148	0.430637	0.457452
SNP726	1	202634803	0.68	0.529412	0.50495	0.497512	0.451098	0.462537	0.455772	0.464307	0.472253	0.477926	0.49783	0.505055	0.469468	0.439617	0.454014
SNP727	1	203074858	0.28	0.294118	0.336634	0.348259	0.349301	0.326673	0.306847	0.35113	0.386561	0.40768	0.473471	0.490885	0.495123	0.470013	0.469531
SNP728	1	203260890	0.6	0.588235	0.554455	0.537313	0.49501	0.509491	0.501749	0.494101	0.49825	0.486126	0.49257	0.464335	0.465608	0.479511	0.470261
SNP729	1	203446736	0.68	0.647059	0.60396	0.58209	0.538922	0.523477	0.486757	0.484503	0.480452	0.494075	0.49315	0.492845	0.471453	0.470203	0.463309
SNP730	1	203574961	0.64	0.529412	0.435644	0.462687	0.421158	0.423576	0.462769	0.470106	0.481752	0.482376	0.49229	0.484005	0.478808	0.461845	0.463009
SNP731	1	203766691	0.48	0.431373	0.415842	0.38806	0.40519	0.418581	0.404798	0.44771	0.417358	0.424229	0.429671	0.434286	0.436573	0.448601	0.466352
SNP732	1	203938385	0.36	0.333333	0.425743	0.358209	0.355289	0.408591	0.41929	0.40112	0.390261	0.39068	0.410032	0.426556	0.433718	0.456657	0.468712
SNP733	1	204018743	0.56	0.607843	0.574257	0.507463	0.512974	0.477522	0.445277	0.440312	0.466653	0.464227	0.47831	0.477335	0.472348	0.462119	0.465185
SNP734	1	204281539	0.52	0.470588	0.50495	0.542289	0.52495	0.472527	0.462269	0.471706	0.476052	0.471776	0.472831	0.484025	0.477343	0.481613	0.46556
SNP735	1	204450030	0.52	0.529412	0.514851	0.507463	0.55489	0.554446	0.550725	0.527095	0.50485	0.476176	0.48425	0.478025	0.456363	0.474809	0.473867
SNP736	1	204704632	0.4	0.411765	0.435644	0.437811	0.437126	0.465534	0.467766	0.455709	0.428157	0.432028	0.448371	0.455355	0.464908	0.463923	0.469183
SNP737	1	204874192	0.24	0.27451	0.316832	0.393035	0.417166	0.383616	0.392804	0.409518	0.40176	0.40343	0.436291	0.456715	0.470153	0.469595	0.470661
SNP738	1	205186351	0.36	0.392157	0.425743	0.40796	0.391218	0.412587	0.445277	0.412917	0.408759	0.426529	0.451371	0.461535	0.469643	0.479923	0.474868
SNP739	1	205605538	0.48	0.607843	0.564356	0.492537	0.429142	0.394605	0.410795	0.438712	0.464654	0.449678	0.444171	0.468635	0.461313	0.466973	0.468536
SNP740	1	206113544	0.4	0.45098	0.445545	0.437811	0.411178	0.401598	0.392804	0.403719	0.422158	0.420729	0.434551	0.420522	0.423759	0.442045	0.440644
SNP741	1	206254547	0.56	0.54902	0.554455	0.482587	0.463074	0.457542	0.437781	0.414717	0.40146	0.40823	0.450131	0.444126	0.435751	0.4304	0.448525
SNP742	1	206278726	0.72	0.607843	0.554455	0.58209	0.540918	0.486513	0.505747	0.54909	0.506949	0.466127	0.441331	0.440276	0.440858	0.428434	0.447848
SNP743	1	206373894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.438401	0.442035	0.430736	0.450284
SNP744	1	206477913	NA	NA	NA	NA	NA	NA	NA	NA	0.427746	0.419888	0.416876	0.41086	0.41737	0.450007	0.448791
SNP745	1	206529274	0.48	0.54902	0.534653	0.447761	0.433134	0.406593	0.382309	0.392921	0.40116	0.40303	0.409212	0.418411	0.426336	0.454022	0.447601
SNP746	1	206828266	0.28	0.431373	0.50495	0.452736	0.423154	0.423576	0.429285	0.442112	0.457154	0.454927	0.445851	0.451245	0.463318	0.459517	0.447408
SNP747	1	207013385	0.6	0.568627	0.594059	0.527363	0.522954	0.470529	0.464768	0.45191	0.453055	0.447278	0.430391	0.429366	0.446758	0.448413	0.436289
SNP748	1	207231964	0.04	0.176471	0.247525	0.328358	0.421158	0.413586	0.411794	0.429314	0.442456	0.455527	0.421032	0.426546	0.418938	0.417685	0.419889
SNP749	1	207571900	0.12	0.27451	0.336634	0.368159	0.351297	0.405594	0.441779	0.406119	0.40416	0.380881	0.378172	0.376416	0.382623	0.385487	0.408459
SNP750	1	207894170	0.32	0.294118	0.346535	0.358209	0.399202	0.392607	0.401799	0.397121	0.393761	0.412729	0.408472	0.398296	0.407913	0.414057	0.420223
SNP751	1	207901588	0.48	0.45098	0.39604	0.39801	0.401198	0.428571	0.424788	0.417716	0.422758	0.40683	0.412152	0.399056	0.412303	0.413755	0.420867
SNP752	1	208209661	0.4	0.392157	0.366337	0.447761	0.487026	0.457542	0.447276	0.467706	0.49795	0.505975	0.48947	0.479145	0.461078	0.459917	0.432587
SNP753	1	208689410	0.44	0.490196	0.435644	0.432836	0.439122	0.434565	0.464268	0.435113	0.419358	0.39813	0.414792	0.409466	0.410888	0.410011	0.423153
SNP754	1	209012612	0.56	0.509804	0.475248	0.457711	0.46507	0.451548	0.447776	0.432913	0.444156	0.425979	0.410412	0.399036	0.401048	0.399885	0.404122
SNP755	1	209230871	0.36	0.392157	0.376238	0.368159	0.341317	0.363636	0.37931	0.386723	0.39916	0.423529	0.414092	0.407636	0.401033	0.402171	0.408446
SNP756	1	209415876	0.48	0.45098	0.415842	0.442786	0.461078	0.426573	0.442279	0.408918	0.406759	0.412929	0.405472	0.406896	0.405103	0.413131	0.416796
SNP757	1	209692828	0.48	0.352941	0.435644	0.447761	0.461078	0.465534	0.442779	0.435313	0.412559	0.426379	0.420432	0.429416	0.442453	0.433965	0.420765
SNP758	1	209872238	0.44	0.509804	0.514851	0.532338	0.453094	0.470529	0.438281	0.44851	0.423658	0.423779	0.412332	0.427516	0.447538	0.435397	0.414762
SNP759	1	210386129	0.32	0.235294	0.346535	0.422886	0.451098	0.463536	0.443278	0.418716	0.407659	0.40108	0.423412	0.417846	0.413408	0.400299	0.412759
SNP760	1	210721398	0.28	0.333333	0.435644	0.41791	0.449102	0.434565	0.443778	0.442511	0.442356	0.446028	0.439591	0.423956	0.420808	0.426983	0.412701
SNP761	1	210979336	0.44	0.392157	0.346535	0.318408	0.361277	0.331668	0.36032	0.40132	0.407359	0.418579	0.413352	0.410386	0.414238	0.414531	0.413772
SNP762	1	211014980	0.32	0.372549	0.376238	0.363184	0.361277	0.383616	0.392804	0.39912	0.394061	0.39203	0.397592	0.397676	0.408523	0.412631	0.414022
SNP763	1	211245981	0.2	0.27451	0.277228	0.283582	0.281437	0.345654	0.351824	0.362128	0.39996	0.39258	0.400732	0.402156	0.401268	0.399299	0.417766
SNP764	1	211261945	0.44	0.372549	0.435644	0.452736	0.403194	0.396603	0.406797	0.403319	0.410859	0.40838	0.404992	0.407306	0.401228	0.402469	0.418063
SNP765	1	211643355	0.48	0.45098	0.475248	0.462687	0.52495	0.501499	0.457271	0.424315	0.412559	0.437828	0.450491	0.449476	0.441008	0.436535	0.42213
SNP766	1	211934965	0.32	0.294118	0.326733	0.368159	0.361277	0.362637	0.355322	0.363127	0.369663	0.379731	0.387812	0.401806	0.414648	0.429243	0.423716
SNP767	1	212293282	0.48	0.470588	0.465347	0.427861	0.493014	0.501499	0.488256	0.462907	0.454655	0.452827	0.429151	0.420726	0.416758	0.413577	0.426124
SNP768	1	212324950	0.32	0.509804	0.455446	0.517413	0.471058	0.437562	0.452774	0.458908	0.451055	0.456177	0.439891	0.437726	0.426458	0.412795	0.425456
SNP769	1	212488887	0.32	0.235294	0.267327	0.298507	0.303393	0.324675	0.383308	0.377125	0.384162	0.415329	0.397832	0.398316	0.422023	0.434989	0.426412
SNP770	1	212513716	0.44	0.333333	0.386139	0.378109	0.345309	0.36963	0.363818	0.364927	0.365563	0.359032	0.390052	0.403596	0.422603	0.436281	0.427013
SNP771	1	212888071	0.36	0.333333	0.366337	0.38806	0.369261	0.375624	0.402799	0.397321	0.39786	0.414579	0.437871	0.430996	0.431553	0.437827	0.425273
SNP772	1	213068834	0.24	0.254902	0.247525	0.258706	0.323353	0.334665	0.344828	0.412517	0.40046	0.387481	0.412152	0.426096	0.436433	0.418043	0.423739
SNP773	1	213297405	0.48	0.470588	0.455446	0.477612	0.421158	0.395604	0.377311	0.340332	0.348765	0.355832	0.359553	0.379456	0.382308	0.404743	0.416105
SNP774	1	213552176	0.56	0.588235	0.554455	0.512438	0.463074	0.434565	0.438781	0.432713	0.444856	0.450577	0.452211	0.447506	0.431028	0.409671	0.411761
SNP775	1	214142980	0.2	0.333333	0.267327	0.253731	0.263473	0.2997	0.34033	0.382923	0.39626	0.39263	0.413452	0.407446	0.409403	0.410375	0.412349
SNP776	1	214349328	0.32	0.235294	0.257426	0.313433	0.40519	0.427572	0.412794	0.402919	0.370663	0.385681	0.394892	0.405016	0.403328	0.411905	0.411876
SNP777	1	214732121	0.4	0.54902	0.514851	0.472637	0.411178	0.401598	0.405297	0.419516	0.414759	0.429029	0.413032	0.421296	0.410338	0.405563	0.399394
SNP778	1	215058969	0.4	0.333333	0.257426	0.263682	0.285429	0.310689	0.37981	0.380524	0.363564	0.356582	0.373993	0.381936	0.382208	0.379743	0.383599
SNP779	1	215374202	0.28	0.352941	0.346535	0.358209	0.383234	0.378621	0.395302	0.372725	0.378562	0.351682	0.361073	0.366226	0.364618	0.370225	0.373962
SNP780	1	215895124	0.36	0.392157	0.376238	0.412935	0.39521	0.3996	0.389305	0.392921	0.386261	0.386681	0.380172	0.381456	0.379413	0.368677	0.367345
SNP781	1	216197762	0.24	0.254902	0.326733	0.298507	0.285429	0.30969	0.286857	0.345931	0.352265	0.355982	0.372853	0.369446	0.357433	0.359377	0.364175
SNP782	1	216556604	0.48	0.45098	0.405941	0.373134	0.321357	0.340659	0.347826	0.354529	0.363464	0.354982	0.355473	0.356176	0.358328	0.361847	0.363526
SNP783	1	216691528	0.48	0.529412	0.465347	0.467662	0.421158	0.394605	0.345327	0.339132	0.339166	0.356282	0.356633	0.364836	0.366548	0.364277	0.36718
SNP784	1	216955886	0.28	0.254902	0.287129	0.283582	0.335329	0.340659	0.369815	0.356329	0.355864	0.371881	0.379892	0.379946	0.372168	0.376885	0.375751
SNP785	1	217204538	0.28	0.372549	0.386139	0.363184	0.381238	0.385614	0.401299	0.392721	0.39636	0.40983	0.401072	0.391686	0.390773	0.387095	0.38102
SNP786	1	217444208	0.48	0.45098	0.366337	0.378109	0.345309	0.362637	0.403798	0.383723	0.374963	0.371081	0.365233	0.378906	0.381973	0.385389	0.3791
SNP787	1	217758995	0.32	0.294118	0.306931	0.393035	0.433134	0.397602	0.349825	0.356529	0.372763	0.348683	0.357213	0.360546	0.362518	0.366337	0.375761
SNP788	1	218091329	0.4	0.431373	0.39604	0.41791	0.42515	0.476523	0.468766	0.435513	0.437656	0.428929	0.403272	0.394346	0.379723	0.371717	0.37486
