	Chr	Position	Bg02es	Bj	Gm06990	Gm12801	Gm12812	Gm12813	Gm12878	Helas3	Hepg2	Huvec	Imr90	K562	Mcf7	Nhek	Sknsh
SNP3176	5	101710440	29.416267	40.097233	27.387522	42.558353	38.922974	38.074097	35.508343	31.178308	30.95533	23.876993	23.731102	28.402821	38.600403	25.723007	47.351376
SNP3177	5	102188818	58.386272	62.198952	43.613873	48.13525	43.947819	41.884457	49.580517	59.549988	45.986996	52.541088	46.915573	42.270538	48.719135	48.833103	50.538101
SNP3178	5	102334201	54.105911	62.906048	45.640671	48.064564	44.464703	44.261875	51.321964	59.1292	50.497486	50.023232	44.488823	49.769398	56.284504	44.879456	49.633026
SNP3179	5	102596649	48.152138	73.992699	51.896832	46.789352	42.642239	42.768154	57.429188	63.0923	44.161968	48.458706	51.724335	52.452988	56.652027	37.187225	48.316525
SNP3180	5	102687161	42.810249	72.922058	52.57798	44.985664	40.217178	41.243198	55.424175	64.115303	39.901527	45.587334	56.116123	46.230526	58.258026	34.085052	47.137993
SNP3181	5	103466022	23.593374	27.795237	17.432587	20.168243	13.71174	18.271219	19.277035	35.741795	23.794548	21.519997	14.382803	33.242546	40.757511	22.830345	31.337606
SNP3182	5	103950655	22.887707	16.581955	13.498557	12.663706	15.808373	15.2299	9.246902	30.781029	15.027607	23.624887	8.97123	27.298832	47.898262	15.322747	27.417431
SNP3183	5	104470420	17.934021	14.799842	11.904441	15.624542	15.368423	16.304113	10.055938	30.028536	13.994	18.610031	7.437841	25.716188	47.862236	17.062565	27.192007
SNP3184	5	105169603	23.549429	15.525032	21.609545	14.366539	11.482308	19.403458	18.798012	30.922134	12.925565	28.816402	29.594833	24.132509	54.157475	16.109352	35.043465
SNP3185	5	105797561	23.352135	30.233898	26.996332	17.411934	17.316347	33.260071	29.446426	35.063637	7.261538	39.60474	36.951462	15.891658	50.025581	39.59082	31.370028
SNP3186	5	106203594	53.37339	17.606649	33.031712	22.602695	24.014952	44.373653	39.059952	37.131584	8.095457	44.087593	15.314635	15.550795	45.122269	31.089848	38.528316
SNP3187	5	106806923	69.913559	42.703423	54.463989	39.966862	38.615131	56.815853	56.844383	55.143913	19.214046	58.203751	39.637608	27.656876	49.122746	55.193771	50.247082
SNP3188	5	106959634	72.759293	41.377056	53.531116	39.32814	38.218742	56.714893	56.200996	50.578056	25.615986	50.811802	39.163891	29.77956	52.128605	47.338108	50.785408
SNP3189	5	107305717	75.551689	37.985039	49.814163	35.963596	37.123001	52.246655	52.074238	44.633575	27.939859	38.864281	38.260262	27.975624	47.938557	36.42551	47.912373
SNP3190	5	107740792	59.60146	45.716854	58.139523	48.528065	48.522522	49.402145	55.746265	51.800961	42.577316	39.945061	37.546024	46.518387	38.300022	42.054684	46.986336
SNP3191	5	108258836	50.146648	45.848629	52.885551	50.27343	52.904118	55.311684	57.438202	53.396545	39.070328	43.027843	41.070522	55.499012	26.99872	43.270737	44.477966
SNP3192	5	108571320	46.943584	51.53157	55.934681	52.735519	52.749741	54.304302	57.780563	61.97456	52.835209	53.739693	46.79258	54.981373	36.056187	53.498959	49.220787
SNP3193	5	108867443	34.861755	44.567146	50.889015	49.496365	47.321507	47.638969	51.807812	54.837448	53.903881	48.26403	41.682465	54.296829	32.958435	56.168655	46.777561
SNP3194	5	109187684	31.844131	42.889256	40.900173	39.983311	36.231167	37.636806	40.64658	33.910919	70.00354	38.89402	31.563818	41.660458	26.567635	42.474991	40.339725
SNP3195	5	109820166	59.143284	24.807209	32.497509	39.515263	31.990082	34.21376	37.788425	16.661715	35.921471	18.901392	32.281223	32.201214	16.503883	30.653887	44.244785
SNP3196	5	110545676	52.970795	36.45845	68.927185	62.634144	58.940849	64.051521	73.115623	23.792572	28.399185	45.27734	54.59568	36.565937	18.163301	51.420437	59.296974
SNP3197	5	111070938	58.234493	57.34024	50.619251	57.335514	57.550446	57.527615	58.852646	35.930714	37.662918	56.972019	66.242546	30.856155	28.484234	54.071075	53.297112
SNP3198	5	111599077	49.053986	41.531315	49.134724	51.535431	54.239536	51.341698	57.812374	49.984184	35.482189	44.993717	51.695549	46.611984	45.531456	40.281605	47.283764
SNP3199	5	111658742	46.50346	38.712444	48.048428	51.078259	52.977333	50.782722	57.6511	53.380539	37.805069	48.752247	45.701927	47.351578	49.410393	40.506413	47.497601
SNP3200	5	112015674	56.28606	61.895229	64.529198	60.035995	61.727741	64.560974	74.318924	58.084091	63.753792	58.665752	58.926327	67.553253	66.203789	54.028214	57.643253
SNP3201	5	112172500	65.104424	68.215256	72.477104	67.616653	67.737236	68.931145	80.975937	67.671349	72.259331	70.030754	72.166176	67.201996	72.274689	60.782169	60.915325
SNP3202	5	112339978	69.932983	70.519608	72.82444	69.510689	67.607544	70.708176	78.601974	67.889427	73.922829	73.519737	77.649567	69.266907	70.473747	67.885391	62.385632
SNP3203	5	112463411	69.390984	65.085022	66.211716	66.322632	65.633408	66.779358	77.262352	54.735962	67.736382	71.045662	72.059334	64.148567	66.698799	56.921284	63.404247
SNP3204	5	112577786	70.218063	59.659672	58.813377	57.138855	61.761505	63.894718	70.194778	45.721066	61.164619	75.770309	68.609413	55.492836	59.224937	55.853161	60.79414
SNP3205	5	112963751	54.268894	46.040035	38.114521	43.850101	51.07729	49.445263	48.956367	29.910915	42.949837	58.144695	53.828648	39.163986	53.458702	65.975288	60.508121
SNP3206	5	113011147	48.804279	42.146572	35.394642	41.975937	48.634117	47.250813	45.852383	26.616016	39.748505	53.868301	50.005127	35.231365	50.033169	62.111172	59.1129
SNP3207	5	113437002	27.139933	49.939419	18.95096	24.51668	29.858366	30.332745	24.836349	13.065173	17.705843	24.365036	56.073746	19.223135	26.305851	29.874535	44.561619
SNP3208	5	113892945	29.008272	33.802094	24.948387	28.813211	31.534403	32.087189	28.125357	13.528178	15.612533	16.166702	39.130859	18.638298	17.23671	21.533964	34.136471
SNP3209	5	114074898	22.088846	28.457724	29.799896	33.183781	34.24543	31.249729	29.529367	16.680836	22.137865	16.673138	31.163801	17.534622	23.507652	24.454996	36.912014
SNP3210	5	114547898	56.324669	69.485695	58.524761	54.727692	56.922626	54.818962	55.491547	57.461536	46.480572	53.147038	68.182487	37.909821	48.803337	53.497471	44.522884
SNP3211	5	114931660	64.930496	71.545166	68.485832	63.186394	62.881477	62.368641	68.994827	58.837982	49.106155	68.768158	74.416328	40.26017	46.929073	60.30162	46.80056
SNP3212	5	115266976	64.102341	59.327766	55.222176	51.931236	53.861172	54.18642	56.840694	35.973465	50.646858	55.8214	65.258591	38.730015	40.852753	41.414001	45.011448
SNP3213	5	115353894	59.99469	59.023357	55.386063	53.220356	53.513618	53.78331	58.278049	36.485466	50.476994	57.251049	65.072144	40.016457	43.572289	42.69875	44.896103
SNP3214	5	115587575	58.55278	38.76334	47.946289	47.647987	46.647797	49.60006	54.37167	20.482124	41.25964	37.81921	43.216763	32.334473	35.652527	27.301529	39.144093
SNP3215	5	115815021	65.732796	31.350849	49.441742	54.521141	50.22826	55.118805	58.567219	26.740448	47.495544	34.901695	32.124378	31.637321	40.024952	38.999783	41.581326
SNP3216	5	115943724	71.034019	31.121447	53.998978	56.431313	52.51664	58.4674	60.860775	23.097906	52.880344	31.078329	28.540812	31.288397	43.649609	42.739899	44.86161
SNP3217	5	116359598	68.890739	20.256451	37.286091	46.840561	36.7981	43.605919	45.602661	11.204718	43.167274	15.760675	9.43775	17.894932	39.4884	23.017675	38.736286
SNP3218	5	117570946	30.369108	24.877937	23.761572	33.784061	31.866343	33.180119	32.482918	10.960548	16.520912	10.608496	8.198081	25.66954	59.580975	17.601006	22.90233
SNP3219	5	118050488	45.927479	33.840542	53.54324	56.948517	56.220287	59.270084	61.818066	34.895992	46.483971	19.910709	29.44838	49.299564	55.943035	30.251766	35.064331
SNP3220	5	118636738	69.532013	53.939362	71.34198	69.808228	67.964615	71.155006	75.626839	72.88829	66.552582	55.482883	57.211887	73.784515	54.196999	56.869492	46.913124
SNP3221	5	118938677	52.637066	41.072262	64.955025	62.453812	61.807167	65.590599	72.873978	54.061073	57.371597	36.89473	44.105495	63.782612	47.913074	43.671867	49.131172
SNP3222	5	119000491	44.4958	35.666515	60.424187	58.978909	60.391457	63.265499	68.367805	47.52837	52.002457	31.157867	39.682503	60.924938	43.85952	36.696621	49.251469
SNP3223	5	119808425	42.385593	62.381088	19.482285	25.618212	22.263233	28.89978	21.970615	37.374599	13.057859	40.199123	62.788166	23.042654	19.674862	31.068913	52.788021
SNP3224	5	120392384	34.019512	34.106094	13.994552	15.992627	16.159119	16.286203	11.683239	31.282894	8.256828	33.054901	34.164124	20.171642	21.073841	17.591846	43.974075
SNP3225	5	120873541	22.110413	24.665174	16.271933	15.232305	19.780071	16.995823	12.20431	34.971806	12.231653	25.789406	31.06284	23.961893	21.723953	17.388973	34.782223
SNP3226	5	121315393	45.988827	62.913651	26.277708	28.841557	30.750324	27.394978	22.795076	51.037014	25.641184	47.686569	73.339867	39.138435	24.869566	36.85899	41.744308
SNP3227	5	121618211	63.663494	63.888042	36.927944	39.443966	41.167244	36.090767	30.039539	54.275116	29.252987	47.80143	76.422821	42.38134	35.988232	39.349865	45.148048
SNP3228	5	121885432	63.304195	44.561813	44.965714	48.240082	55.442783	49.821037	40.825283	59.608299	40.825306	43.637203	55.149872	42.864643	47.520836	39.008995	46.8181
SNP3229	5	122229192	60.297852	43.433254	49.229023	52.011909	56.790901	55.973942	47.771641	62.8577	46.896477	47.723782	44.756886	47.593704	48.022457	46.709244	49.048645
SNP3230	5	122456499	59.779427	45.997982	48.380444	49.921833	56.320023	57.389881	49.748219	65.458977	50.298527	45.052986	49.256569	43.574501	50.689697	45.921501	54.691189
SNP3231	5	122796826	60.02142	43.605362	65.805099	59.846443	65.313202	64.948288	69.129669	69.43515	48.544048	54.862968	46.254284	42.638435	55.890644	67.648064	59.828255
SNP3232	5	122933473	54.142525	42.781551	59.635017	54.472637	62.929871	61.249466	59.943832	61.777737	43.574722	50.048275	42.887768	40.494003	50.340553	60.481117	58.964642
SNP3233	5	123255024	45.874958	36.706692	40.243954	42.685471	47.159199	42.820992	41.811993	51.848671	25.893436	37.306732	35.351624	25.815485	43.104908	36.23938	58.511749
SNP3234	5	123770121	61.962364	38.971428	52.639809	45.115112	37.319546	34.755398	42.912941	33.656231	47.57082	43.753609	45.572903	39.783627	37.779411	33.746284	60.667328
SNP3235	5	124063991	69.674637	49.346863	57.911011	51.046833	44.640743	42.997135	49.407951	41.262817	54.020885	51.846348	50.939903	52.176861	40.802551	40.348183	62.475063
SNP3236	5	124378495	76.870117	47.86763	52.234402	48.482067	47.338371	45.933731	53.76944	28.210842	32.253132	49.24691	54.389339	29.056488	46.801682	44.972855	62.298889
SNP3237	5	124873389	49.716808	45.649582	32.87645	30.382772	26.948509	31.959942	29.512047	25.129688	19.409504	52.607594	44.314571	17.382376	41.778385	50.799362	61.601242
SNP3238	5	125403671	51.259426	51.172703	43.128162	49.090225	48.529068	53.162586	43.890202	45.408314	43.774937	30.905987	48.666336	37.285126	42.021542	46.114349	51.608299
SNP3239	5	125951733	71.037903	73.631126	72.402496	66.853981	65.745613	71.008049	77.761703	70.861389	72.329506	57.992897	72.609215	73.874947	67.461159	65.063629	54.021229
SNP3240	5	126006011	71.155846	70.258339	74.345245	68.589989	67.34845	71.926346	78.75045	67.485825	72.619873	59.096195	69.098633	75.407242	67.197578	60.606514	54.335968
SNP3241	5	126231763	65.574989	60.731777	69.125084	67.390007	66.738159	70.187119	75.964195	46.068497	62.723465	65.162735	55.286873	70.820023	57.693306	41.159363	48.360584
SNP3242	5	126642891	56.342228	49.938671	51.808308	53.03017	59.096722	57.081829	57.364902	24.424133	46.273647	50.612312	43.36816	50.946609	44.71714	35.121445	41.885269
SNP3243	5	126823928	57.759918	47.003292	51.962158	56.134789	64.00029	60.856823	52.064205	33.035725	39.355007	45.006199	44.791641	43.194351	52.987526	39.07613	38.2342
SNP3244	5	127017721	38.313679	57.480751	53.220222	56.086102	65.640984	62.535484	48.835907	41.341331	36.753693	54.688011	62.029449	39.791946	62.203861	49.787086	37.398945
SNP3245	5	127467005	29.214193	54.490986	43.828663	47.319424	54.944695	51.849213	37.437935	52.592552	30.661215	56.095844	56.667255	34.325962	62.55563	52.068741	34.973396
SNP3246	5	127579824	27.716143	52.575371	37.288761	42.008217	49.437958	47.132889	35.350254	49.455807	24.813099	50.900139	51.103912	32.220688	55.7896	52.276199	36.596584
SNP3247	5	127787602	29.715437	51.477962	29.080509	33.185799	39.261879	36.779995	26.553091	52.600121	17.96559	41.594395	42.455307	26.980782	44.377281	47.078556	37.982937
SNP3248	5	127953530	38.31284	58.977749	25.247175	26.650318	30.645201	31.05084	21.996374	57.683739	16.373667	49.810879	43.023861	30.270525	44.601566	51.827908	43.35463
SNP3249	5	128376922	25.276594	27.713556	21.919203	21.814156	25.679291	26.821445	25.469746	28.429892	24.670092	31.760536	20.22879	50.271297	64.59922	33.420376	50.032089
SNP3250	5	128586961	35.197334	24.136442	17.158665	20.348803	21.701572	23.084515	17.738766	16.249706	16.305502	22.455509	12.752127	40.921978	67.572205	27.828863	47.334644
SNP3251	5	128903953	47.493187	22.37203	15.392984	18.444653	23.892265	19.504087	13.70383	12.220607	13.106035	22.660889	11.466224	27.335604	61.208416	29.778238	39.236401
SNP3252	5	129187080	46.093639	25.902454	17.258602	21.964514	22.264675	24.206463	19.992785	11.825631	17.016357	30.667179	12.802605	20.361156	48.81065	31.791658	33.24926
SNP3253	5	129681586	23.766457	23.850113	25.162373	33.691196	33.601833	35.464081	32.837391	12.151152	17.59388	37.312233	16.106335	21.239948	31.978781	44.698845	26.329008
SNP3254	5	130337153	37.977051	54.671471	64.681992	61.765083	60.341633	64.224174	69.216873	52.88208	54.396713	53.52562	60.086861	59.234524	50.300587	50.523479	45.214798
SNP3255	5	130875403	37.460979	50.29306	60.563332	59.370399	59.201569	62.805813	65.659142	51.303158	54.850521	48.507336	54.423332	62.194324	45.479183	45.339008	49.688168
SNP3256	5	130941511	35.948059	48.751377	59.536156	58.448288	58.489128	61.348537	64.759888	50.43187	55.830948	49.163849	53.123634	62.854656	45.862904	45.273319	50.713215
SNP3257	5	131141173	40.738411	61.005882	63.457447	60.839779	58.358711	60.752628	68.041931	56.920677	64.547142	59.789539	62.313164	68.78418	54.825935	58.364143	56.257717
SNP3258	5	131456875	37.944489	73.889244	70.350868	65.105476	64.472847	67.442596	72.754845	64.932571	70.544571	70.98259	77.210487	77.121552	65.525146	70.601387	63.699814
SNP3259	5	131779890	59.898258	76.612259	77.307686	71.509811	71.49192	73.520813	78.648361	75.916039	81.737808	79.976479	82.669502	78.660751	73.891251	71.854126	67.094276
SNP3260	5	131942511	57.814495	76.307686	78.102852	70.719536	72.345848	73.915855	80.061409	71.149818	81.033318	74.450348	80.784584	79.460884	72.488205	68.28598	65.458992
SNP3261	5	132054135	59.455055	74.964111	78.760826	71.538277	70.948936	73.499146	80.328529	70.577515	82.719414	75.373894	79.354355	80.451141	72.545433	69.675255	67.92289
SNP3262	5	132211723	67.879486	74.055237	76.09758	69.555054	67.664459	71.81736	77.522423	72.266319	82.558464	76.100662	77.933647	79.318504	74.734512	71.278511	65.805664
SNP3263	5	132337707	74.727486	73.361206	73.76104	68.235245	67.685234	69.179237	74.720009	75.197998	82.362595	76.791473	76.053642	79.95993	74.151871	72.69239	65.326454
SNP3264	5	132462579	68.170097	66.353683	69.353737	66.479538	65.762978	68.024712	72.827362	69.132019	80.862923	70.781326	70.519112	76.368484	73.377907	69.535133	66.139191
SNP3265	5	132755994	50.167358	39.900856	58.187897	55.139221	53.845829	56.027416	59.930115	45.035629	63.184597	41.733513	43.800743	56.265781	68.399246	62.853168	64.725029
SNP3266	5	133107340	42.878273	53.588032	69.04023	65.593742	64.182236	65.501144	72.868217	61.959473	69.782097	44.06879	51.787739	59.386852	62.455315	54.963329	65.722168
SNP3267	5	133209054	54.393524	62.237423	74.994759	69.694229	67.667931	69.167961	76.764854	64.377319	76.78904	51.791473	62.982582	65.277748	68.907013	64.027824	67.225288
SNP3268	5	133575161	72.009277	74.882355	77.851379	72.752235	68.893402	69.435814	77.18882	75.735863	81.270042	71.673325	81.735687	72.498199	75.293083	68.480797	65.960838
SNP3269	5	133835434	77.611122	77.439217	77.662102	70.951973	69.294189	74.025848	79.48748	76.96521	82.14283	79.204834	82.895073	75.950073	78.843933	73.46077	69.746223
SNP3270	5	134083954	77.096184	72.915482	76.205017	71.727692	68.79007	71.98201	80.866264	77.320053	83.016235	78.950279	82.23468	80.88884	73.598145	69.204224	66.978317
SNP3271	5	134351396	64.582977	68.720726	65.392029	66.062965	62.691906	65.759674	72.482109	77.127449	79.59375	69.458183	76.613007	77.11116	70.966904	64.410622	66.812141
SNP3272	5	134499417	45.335251	70.815224	58.39959	57.628151	59.122334	61.212933	65.20224	75.54319	78.86515	62.006405	80.34314	75.314247	68.229485	64.986893	65.144264
SNP3273	5	134852348	45.824089	64.463562	50.042549	50.330982	46.926521	52.193867	51.983341	54.295841	69.79702	44.274948	69.858582	66.909103	60.78619	66.271225	57.708092
SNP3274	5	135096628	27.083506	53.393406	37.712563	46.340832	44.634045	46.103977	41.491787	43.461365	72.511322	39.568596	66.118713	51.659443	51.504108	63.209476	55.036015
SNP3275	5	135318662	31.716919	71.266975	44.630375	54.449577	52.914589	52.210781	50.292763	69.89856	81.625473	63.11137	81.213516	50.070011	56.618317	72.047729	57.055275
SNP3276	5	135565660	46.137833	56.644272	45.312119	52.382221	52.779484	52.444221	46.791054	51.113838	76.65947	47.653393	66.472923	48.984543	49.105694	65.336967	53.54739
SNP3277	5	135588233	44.215755	54.26054	43.973709	51.63063	51.970005	51.304634	45.708546	48.626247	75.343727	45.992699	64.095222	47.743191	46.826267	63.306374	52.555584
SNP3278	5	135621649	40.962036	50.502289	41.714638	50.321323	50.631168	49.400051	43.941772	44.896198	72.928116	43.904648	60.336048	46.047604	43.307163	59.249588	50.855278
SNP3279	5	135917567	36.02565	37.19347	26.181986	36.927094	39.004097	35.111797	27.579571	49.296192	51.020012	55.117138	33.588505	38.115929	25.553728	34.289112	40.120621
SNP3280	5	136395298	28.469034	48.494469	29.730755	43.114616	39.494637	40.494709	33.851051	22.502161	29.67141	50.707981	26.017963	37.681091	32.668022	38.631702	48.220142
SNP3281	5	137021757	58.437679	57.858337	67.414421	64.516075	64.522072	65.414856	70.684738	63.221725	51.863834	74.88694	43.30497	55.973969	60.459866	50.418903	63.565178
SNP3282	5	137207839	63.434502	60.67815	73.900398	69.59536	66.229652	68.8461	77.270187	72.505768	60.434807	72.73394	47.753536	64.263794	64.856476	62.060902	63.927807
SNP3283	5	137400057	70.543465	62.423435	71.054939	67.989304	67.17247	66.418518	74.891754	67.447662	69.358833	67.389442	62.180111	69.59597	67.477486	62.896301	66.27285
SNP3284	5	137666970	70.25872	71.81411	72.362976	69.04303	65.091499	68.627792	75.934952	72.183441	80.810593	76.486	77.888817	78.821663	73.306015	70.995987	67.672867
SNP3285	5	137795597	76.643883	74.879456	75.505981	71.300018	67.747498	72.442123	78.921684	75.258484	80.587936	80.074432	83.243683	82.156845	77.851624	72.563232	67.458893
SNP3286	5	137865122	74.279083	73.556831	74.72789	70.403404	66.350937	71.172699	78.4179	72.555031	79.5672	78.866737	81.701576	79.2463	78.101631	72.328476	67.357079
SNP3287	5	137901072	72.271454	72.832001	73.992538	69.930283	65.681656	70.467552	77.523529	70.174812	78.6782	77.255211	79.920242	77.427826	77.382881	72.417114	67.516113
SNP3288	5	138251689	66.19664	60.793045	66.782539	65.475784	62.833302	67.528397	71.669785	63.450344	70.417503	61.259628	66.313072	64.78524	70.214493	58.014996	68.292862
SNP3289	5	138407635	61.261753	67.083824	71.406326	67.05526	64.174789	69.193825	76.416908	68.819824	73.818954	69.245659	71.404503	70.353027	70.456154	61.122574	66.043503
SNP3290	5	138806987	75.764908	77.13414	80.774658	70.126259	71.134636	72.621651	77.297546	73.600586	80.308327	81.370468	82.225319	78.98317	76.599083	71.379654	66.479057
SNP3291	5	139034042	77.508255	75.570404	78.74614	71.673416	70.921638	73.966759	78.712074	74.857986	82.8311	81.445633	83.221268	78.595451	77.861137	70.429146	71.15992
SNP3292	5	139202601	70.343452	67.098152	75.642838	70.993225	68.575996	73.343491	78.713608	64.387154	81.222443	70.990318	78.877899	76.754585	74.791687	61.792603	70.348076
SNP3293	5	139508894	61.64056	73.60231	73.615128	69.630493	64.356705	68.445389	78.599693	73.510643	76.182732	76.237694	76.930145	72.298218	67.515747	68.73143	67.468781
SNP3294	5	139720594	73.393135	74.059326	77.045723	70.08284	70.388687	71.305344	77.595909	78.548149	81.178864	82.135735	83.69455	79.46048	72.361267	69.337669	66.585136
SNP3295	5	139985508	63.398094	69.347046	69.990074	67.524811	65.811699	67.918358	73.654884	71.52121	80.610291	76.544807	72.25972	76.399513	68.840645	66.933884	65.060661
SNP3296	5	140060958	63.487347	64.317307	66.047867	66.286964	63.40723	65.807968	70.871727	71.476227	78.407623	74.491638	66.660721	75.983124	65.986252	62.566849	63.561699
SNP3297	5	140205337	60.853806	51.821514	54.999187	57.345406	54.922218	59.350079	62.661442	64.853027	69.339569	59.613728	50.888969	67.943314	59.391022	47.821735	61.412445
SNP3298	5	140508417	65.547005	33.757847	43.454552	46.990131	44.418106	46.153736	45.981613	51.023411	52.706661	34.582478	35.35601	49.763577	62.063889	32.381424	63.490524
SNP3299	5	140626249	52.967392	38.827557	47.593945	48.03162	45.026222	48.186798	48.423878	43.332607	50.038906	42.87883	41.080688	48.748661	58.441578	33.197453	64.809082
SNP3300	5	140731869	52.872597	45.540154	53.367783	51.37487	49.345871	54.051727	54.092026	46.322338	50.405327	54.960281	46.213711	52.288685	56.895378	41.421417	67.528236
SNP3301	5	140825597	60.197575	51.76952	56.884945	54.646484	51.704895	56.353905	56.500385	54.609543	52.151932	63.907913	49.965504	56.79517	56.395832	50.138725	68.257736
SNP3302	5	140919269	66.226105	56.407475	59.621277	56.136513	53.536598	57.531334	59.78339	63.822857	55.244572	70.779976	55.559631	62.361691	60.597237	58.635834	66.888741
SNP3303	5	141057566	70.662437	61.498299	64.043289	58.441402	56.181	59.359306	64.396858	71.031067	60.143063	79.4543	64.343178	68.914558	66.008583	69.248695	67.666565
SNP3304	5	141301044	76.797112	69.3554	62.778786	56.699604	56.970543	61.053429	64.230164	69.219376	63.719345	79.814049	68.54673	66.731064	68.020363	70.947868	68.936096
SNP3305	5	141567048	73.96373	77.536507	54.441681	50.639492	55.000481	62.160454	61.123802	62.233212	73.241226	76.325432	79.089653	71.36348	60.795464	71.297699	67.314949
SNP3306	5	142008279	70.812302	76.211494	60.194275	57.306335	59.671059	64.08886	69.50576	51.398491	78.094582	71.901619	80.755371	58.239162	54.929771	68.82991	66.611176
SNP3307	5	142394835	54.75742	73.326698	78.807098	71.311104	71.000595	71.930847	78.487411	63.915787	70.050301	64.117348	80.265816	52.240494	45.704494	62.483414	64.049232
SNP3308	5	142618451	46.363163	73.311172	79.337082	72.036743	70.884163	72.231316	79.94397	73.877159	77.307968	70.282867	82.526901	66.244713	55.29166	70.216042	61.466129
SNP3309	5	143167613	23.812134	66.800308	72.053596	62.251514	63.30595	65.303764	71.687553	58.800121	69.368294	46.692528	71.447868	37.182735	41.877739	50.273266	46.438828
SNP3310	5	143522523	32.050774	69.209175	57.113316	51.974892	52.038166	53.755398	59.721947	54.987366	45.094208	59.487228	73.403816	35.578655	32.062531	53.042511	43.653889
SNP3311	5	143873235	28.755142	38.158531	34.329475	37.242516	34.448776	35.19521	36.44289	24.756208	22.741739	30.987482	42.124294	27.255976	19.066633	25.279518	37.803394
SNP3312	5	144148787	18.375343	25.371689	22.332983	25.528519	24.365164	26.459476	23.568193	19.038746	17.862335	25.247139	29.201061	23.85149	15.784759	24.508921	33.776249
SNP3313	5	144706083	21.180178	43.679138	19.763718	27.005453	23.370687	24.691406	24.949667	37.763	33.304966	45.119759	47.238079	37.6101	27.087852	36.939804	35.307308
SNP3314	5	145260842	52.720009	54.162647	44.692902	48.82011	48.247761	50.155804	55.086842	67.805244	68.188683	49.19006	58.959274	65.67466	54.49398	67.964607	53.193825
SNP3315	5	145502267	75.62339	60.992008	61.745052	62.008877	59.429874	62.51989	68.857277	71.364403	74.339775	65.577995	65.034142	73.446877	61.587139	67.570656	58.815147
SNP3316	5	145627085	73.940529	60.52187	60.567669	61.785637	60.542084	61.447624	69.020401	69.453636	73.395569	66.236099	64.426857	74.852303	59.334457	67.005287	60.073853
SNP3317	5	145953551	65.729042	38.13694	43.653484	47.424927	47.339615	48.385624	50.579548	48.619957	56.655952	39.711208	38.572056	60.314629	45.818214	53.567303	62.704376
SNP3318	5	146016071	64.547165	32.537571	39.57021	44.44371	43.597916	44.87178	46.428371	45.805073	52.008251	33.509106	33.526367	55.358532	40.347443	48.131054	61.34206
SNP3319	5	146423503	57.039749	31.664251	24.943201	24.987471	33.218079	33.935505	21.713633	21.049845	42.484734	29.057032	33.964256	31.031546	22.692192	29.174103	59.150131
SNP3320	5	146773111	74.704025	60.281139	28.670841	21.880177	37.572685	40.78862	17.424173	17.949602	33.857021	68.790108	66.774529	27.558229	17.532116	28.22575	59.340389
SNP3321	5	146848534	75.838303	65.94664	27.910814	23.713619	35.975212	38.304787	18.273726	19.852215	31.036531	75.753601	71.764366	25.796303	18.989252	33.09082	59.777824
SNP3322	5	147008653	73.46376	64.448334	23.933855	21.491398	29.051218	31.814772	16.067896	32.112579	30.056549	70.499954	69.98114	26.036283	25.492752	32.44421	57.027954
SNP3323	5	147315965	70.779144	35.595413	19.20179	23.345968	27.489937	23.445318	19.857847	67.680824	26.390812	45.573605	40.559177	30.355335	37.301838	50.534267	49.942493
SNP3324	5	147547295	50.037823	23.23708	27.660282	30.056089	32.259098	28.635124	27.515566	68.910233	27.649294	41.989342	27.009415	34.075161	40.761829	51.09243	43.710072
SNP3325	5	147594186	44.770538	24.266367	29.9042	32.092098	34.152023	31.021925	28.861748	69.484116	29.381447	43.326477	27.555862	36.61689	40.409508	49.646496	44.022701
SNP3326	5	147820138	27.172428	38.706356	31.853527	43.168476	43.685001	36.38113	37.839836	57.404709	35.733734	49.64994	39.730999	47.77935	31.520811	45.919365	46.643536
SNP3327	5	147847573	25.906183	40.873047	32.533035	43.902645	44.980556	37.451736	39.123188	54.36171	36.080429	49.433952	41.668785	48.99548	30.885405	46.470478	47.774334
SNP3328	5	148095449	18.960115	62.245445	45.09161	53.787525	57.090328	48.549404	54.596195	53.018696	40.779507	55.243626	66.873734	52.855591	36.987728	63.436157	55.708363
SNP3329	5	148341511	25.003027	74.987289	44.102135	49.692837	53.925617	49.026604	52.475674	71.863487	57.982956	73.961189	80.045937	52.131214	49.777588	70.87043	62.709267
SNP3330	5	148607565	50.143013	77.161827	53.486671	56.993137	50.912178	57.153397	56.71484	66.400749	73.887238	76.739075	84.841797	66.82122	65.384171	66.607658	66.179146
SNP3331	5	148739650	64.97094	75.203026	62.267986	63.925945	55.428791	62.303448	64.679771	71.779152	80.092209	80.581116	86.237869	73.847244	71.838432	71.827026	68.386894
SNP3332	5	148883879	72.231323	76.349159	68.771919	67.004059	57.622673	64.846321	72.784439	77.558144	80.914452	81.220108	86.130127	78.335609	73.156235	71.124611	66.381371
SNP3333	5	149020839	64.113693	73.255539	70.161072	67.296692	61.332436	66.429199	75.291351	70.537178	74.746033	74.811203	81.302498	71.962151	69.760025	70.346535	67.082649
SNP3334	5	149092545	56.588593	68.346954	69.876228	66.613289	60.289886	65.689964	72.726929	66.639511	71.050591	70.66407	75.791351	69.373924	68.684303	70.486832	68.177536
